Corps,Catégorie
"Email d'origine : Formulaire de contact   Divers (92).msg

email envoye automatiquement suite a une demande sur le site energies madame telephone objet divers adresse electronique message numero de clien cest numero de contrat cest rr bonjour permet de vous ecrire car je n'arrive pas a vous envoyer le rib via mail et sur l'espace client je peux pas acceder au gaz pour vous joint mon rib merci de bien vouloir me repondre energies social rue du marais vert cedex ",4
"Email d'origine : Formulaire de contact   Divers (108).msg

email envoye automatiquement suite a une demande sur le site energies madame troe telephone objet divers adresse electronique message geispolsheim n° contrat madame monsieur je souhaiterais avoir des precisions conernant mon contrat d'electricite je souhaiterais avoir des precisions sur le terme heures creuses heures pleines a quelles heures correspondentelles entre midi et h etc car je souhaiterais faire encore plus d'economies merci beaucoup bien cordialement energies social rue du marais vert cedex ",4
"Email d'origine : Fwd .msg

bonjour vous trouverez ci dessous les elements necessaire a resiliation de mon contrat au juillet n° de contrat releve de compteur kwh adresse de correspondance adresse rue de stutzheim demande de resiliation au juillet merci de bien vouloir confirmer reception de cette demande bien cordialement https ipmcdn avast imagesiconsiconenvelopetickroundorangeanimated repeatv gifhttps www avast email utmmediumemailutmsource utmcampaign emailutmcontentwebmail garanti sans virus www avast https www avast email utmmediumemailutmsource utmcampaign emailutmcontentwebmail",0
"Email d'origine : RE  votre courriel du 02 07 2017.msg

bonjour madame je nai quun seul logement dans les jardins dalsace place saint louis et pas mon logement est le f en outre je ne suis en mesure de faire des releves lhomme a tout faire de ny t pas arrive non plus en etant allonge sur le sol pour parvenir a mon age ans je ne peux me permettre un tel exercice si vous faites allusion a un studio que jai aux urbaines avenue a le processus de vente arrive a son terme je ne suis plus concerne je vous prie dagreer lexpression de mes sentiments distingues de accueil mailto envoye mercredi juillet a objet votre courriel du bonjour monsieur nous faisons suite a votre demande concernant le contrat nous vous informons qu'une facture a ete calcule sur base d'un index estime pour le contrat une facture sera calculee fin juillet sur base d'un index estime nous vous invitons a nous transmettre vos releves pour ces logements avant votre depart nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto envoye dimanche juillet a accueil mailto objet periode de vacancs bonjour madame ou monsieur pour vos controles ou estimation je crois faire uvre utile en vous signalant que nous serons absents du au veuillez agreer madame ou monsieur lexpression de nos sentiments distingues ",1
"Email d'origine : Formulaire de contact   Divers (1).msg

email envoye automatiquement suite a une demande sur le site energies monsieur telephone objet divers adresse electronique message malgre des annees avec vous votre systeme de communication internet est pitoyable et j'en passe vous m'envoyez des email depuis avec vos demande pas moyen alors on ne peut vous repondre par contre pour facturation comment pour en finir vote dernier email dite moi comment vous acceder energies social rue du marais vert cedex ",2
"Email d'origine : Re  Votre demande (59).msg

bonjour pour le remboursement il faudra le faire au nom du conseil de fabrique pour pouvoir lencaisser nayant plus de compte ouvert mail rue de division brumath from accueilmailto sent thursday am to mailto subject votre demande bonjour madame nous faisons suite a votre demande nous vous confirmons que nous avons bien encaisse votre cheque de euros nous regrettons neanmoins de vous informer que nous ne pouvons pas vous garantir que nous n'encaisserons pas votre second cheque nous vous informons que si ce dernier est encaisse et que le contrat n° presente un solde en faveur de madame nous pourrons proceder au remboursement par ailleurs nous vous confirmons que nous avons pris en compte votre demande de modification de l'adresse de correspondance de ce contrat nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto envoye mercredi juin a accueil objet facture cathrine contrat n° rue des remparts brumath bonjour le avril le conseil de fabrique de leglise catholique de brumath avec le cheque debite le a caisse depargne a paye facture n° s du dun montant de euros concernant limmeuble cite en objet le juin le conseil de fabrique de brumath vous a fait parvenir un cheque dun montant de euros et un rib pour facture n°s du de limmeuble cite en objet par presente je vous demande de ne pas encaisser ce cheque vu que son montant ne correspond pas a consommation estime en effet le montant facture represente facture du soit lestimation de facture du soit le delta payer de jattends votre reponse pour savoir comment me mettre en conformite avec le reglement afin de ne pas etre victime du non releve de boite au lettre pourriez vous faite parvenir le courrier pour au catholique place de leglise  brumath cordialement mail mailto rue de division brumath https ipmcdn avast imagesiconsiconenvelopetickroundorangeanimated repeatv gifhttps www avast email utmmediumemailutmsource utmcampaign emailutmcontentemailclient garanti sans virus www avast https www avast email utmmediumemailutmsource utmcampaign emailutmcontentemailclient",4
"Email d'origine : Formulaire de contact   Divers (110).msg

email envoye automatiquement suite a une demande sur le site energies madame telephone objet divers adresse electronique message bonjour c'est complique de payer en ligne tous les deux mois je dois creer un nouveau de passe car le precedent n'est pas reconnu ce mois ci j'ai compte verrouille h et je suis en conges pour un mois vous aurez le reglement a mon retour car je a l'etranger cordialement energies social rue du marais vert cedex ",5
"Email d'origine : Fwd  Relevé d'Identité Bancaire.msg

 facture du mois de juillet doit etre prelevee sur l'ancien rib et a partir du premier aout les prelevements doivent etre faits sur le nouveau rib bien cordialement envoye de mon iphone du message transfere expediteur mailto date juillet a utc destinataire mailto objet releve d'identite bancaire bonjour je viens d'effectuer un changement de rib a partir de mon espace personnel pouvez vous m'assurer que le changement sera bien effectif pour les prochaines factures a partir du aout en effet je change de banque a partir du aout mon ancien compte ne sera plus alimente bien cordialement htmlhead httpequivcontenttype contenttexthtml charsetusasciiheadbody dirautoblockquote typecitedivdivblockquoteblockquote typecitediv httpequivcontenttype contenttexthtml charsetusasciidivdivdiv httpequivcontenttype contenttexthtml charsetusasciidivdivdiv httpequivcontenttype contenttexthtml charsetusasciidivdivdiv httpequivcontenttype contenttexthtml charsetusasciiblockquote typecitetable stylebordercollapse collapse width% aligncenter cellpadding cellspacing border bgcolor#eeceftbodytrtd width% bgcolor#eecef aligncentertdtrtbodytableblockquotedivdivdivdivblockquotebodyhtml",4
"Email d'origine : CONTRAT N° 638410.msg

facture n° s bonjour suite a reception de ma facture estil possible de lisser les  sur les prochaines mensualites a l'heure actuelle nous ne sommes pas en mesure d'effectuer le reglement sur mois dans l'attente de votre retour cordialement rue achenheim t ",4
"Email d'origine : Re  Votre demande (78).msg

bonsoir suite a l'etat des lieux le releve de compteur electrique est le suivant merci et bonne soiree le juin a accueil mailto a ecrit bonjour madame nous avons bien pris connaissance de votre demande de souscription de contrat au rue saint a afin d'etablir votre contrat de fourniture nous avons besoin d'informations complementaires que nous vous demandons de nous fournir par retour de mail date de remise des cles de votre logement le numero de serie complet de votre compteur les releves du compteur vos coordonnees bancaires afin de mettre en place le prelevement de vos factures des reception de ces informations le nouveau contrat de fourniture pourra etre mis en place pour vous simplifier gestion de votre contrat nous vous recommandons mensualisation avec mensualisation vous preleve de somme chaque mois a une date fixe que vous choisissez le montant de votre mensualite est determine selon vos equipements composition de votre foyer et vos habitudes de consommation vous pouvez adapter votre mensualite en fonction des modifications de vos habitudes de consommation pour cela vous pouvez vous rendre sur votre espass personnel une fois votre contrat actif nous vous invitons a consulter une video accessible depuis le site http energies electriciteservicesenligneespasspersonnel pour decouvrir toutes les fonctionnalites disponibles nous restons a votre disposition pour tous renseignements complementaires bien cordialement guete alexandra votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto demandeur nature je suis un particulier intitule mlle nom date de naissance categorie socioprofessionnelle employeouvrier email mailto telephone fixe numero de compteur adresse adresse valide oui numero d'appartement numero type et libelle voie rue saint lieudit mention de distribution postal commune adresse d'envoi des factures adresse valide oui numero d'appartement numero type et libelle voie rue saint lieudit mention de distribution postal commune ",1
